class1	gender1	class2	gender2	num_of_connections
3B	M	3B	M	211
3B	F	3B	M	40
3B	F	3B	M	16
3B	F	3B	M	16
3B	F	3B	M	8
3B	F	3B	F	25
3B	F	3B	M	158
3B	F	3B	M	92
3B	F	3B	F	35
3B	F	3B	F	34
4B	F	3B	M	0
4B	F	3B	M	0
4B	F	3B	F	0
4B	F	3B	F	0
4B	F	3B	F	0
4B	M	3B	M	0
4B	M	3B	M	0
4B	M	3B	F	1
4B	M	3B	F	0
4B	M	3B	F	0
4B	M	4B	F	18
4B	M	3B	M	10
4B	M	3B	M	9
4B	M	3B	F	4
4B	M	3B	F	0
4B	M	3B	F	0
4B	M	4B	F	15
4B	M	4B	M	5
1B	M	3B	M	0
1B	M	3B	M	1
1B	M	3B	F	1
1B	M	3B	F	0
1B	M	3B	F	0
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	3B	M	2
1B	M	3B	M	0
1B	M	3B	F	0
1B	M	3B	F	0
1B	M	3B	F	0
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	39
1B	M	1B	M	52
4B	F	3B	M	1
4B	F	3B	M	0
4B	F	3B	F	1
4B	F	3B	F	0
4B	F	3B	F	0
4B	F	4B	F	17
4B	F	4B	M	7
4B	F	4B	M	6
4B	F	1B	M	0
4B	F	1B	M	0
4B	M	3B	M	0
4B	M	3B	M	0
4B	M	3B	F	0
4B	M	3B	F	1
4B	M	3B	F	0
4B	M	4B	F	5
4B	M	4B	M	8
4B	M	4B	M	12
4B	M	1B	M	0
4B	M	1B	M	0
4B	M	4B	F	24
3A	M	3B	M	0
3A	M	3B	M	0
3A	M	3B	F	1
3A	M	3B	F	0
3A	M	3B	F	3
3A	M	4B	F	1
3A	M	4B	M	1
3A	M	4B	M	0
3A	M	1B	M	0
3A	M	1B	M	0
3A	M	4B	F	1
3A	M	4B	M	0
3A	M	3B	M	9
3A	M	3B	M	5
3A	M	3B	F	2
3A	M	3B	F	0
3A	M	3B	F	0
3A	M	4B	F	0
3A	M	4B	M	0
3A	M	4B	M	0
3A	M	1B	M	0
3A	M	1B	M	0
3A	M	4B	F	1
3A	M	4B	M	0
3A	M	3A	M	8
3A	F	3B	M	2
3A	F	3B	M	0
3A	F	3B	F	4
3A	F	3B	F	1
3A	F	3B	F	2
3A	F	4B	F	0
3A	F	4B	M	0
3A	F	4B	M	1
3A	F	1B	M	0
3A	F	1B	M	0
3A	F	4B	F	0
3A	F	4B	M	0
3A	F	3A	M	46
3A	F	3A	M	27
3A	M	3B	M	18
3A	M	3B	M	12
3A	M	3B	F	4
3A	M	3B	F	3
3A	M	3B	F	1
3A	M	4B	F	0
3A	M	4B	M	0
3A	M	4B	M	1
3A	M	1B	M	10
3A	M	1B	M	2
3A	M	4B	F	0
3A	M	4B	M	0
3A	M	3A	M	12
3A	M	3A	M	10
3A	M	3A	F	13
3B	M	3B	M	72
3B	M	3B	M	17
3B	M	3B	F	6
3B	M	3B	F	68
3B	M	3B	F	51
3B	M	4B	F	0
3B	M	4B	M	0
3B	M	4B	M	1
3B	M	1B	M	1
3B	M	1B	M	0
3B	M	4B	F	0
3B	M	4B	M	0
3B	M	3A	M	1
3B	M	3A	M	0
3B	M	3A	F	0
3B	M	3A	M	113
1A	F	3B	M	1
1A	F	3B	M	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	4B	F	2
1A	F	4B	M	0
1A	F	4B	M	8
1A	F	1B	M	1
1A	F	1B	M	0
1A	F	4B	F	0
1A	F	4B	M	1
1A	F	3A	M	0
1A	F	3A	M	3
1A	F	3A	F	1
1A	F	3A	M	1
1A	F	3B	M	3
1A	M	3B	M	0
1A	M	3B	M	0
1A	M	3B	F	0
1A	M	3B	F	0
1A	M	3B	F	1
1A	M	4B	F	0
1A	M	4B	M	0
1A	M	4B	M	0
1A	M	1B	M	3
1A	M	1B	M	0
1A	M	4B	F	1
1A	M	4B	M	2
1A	M	3A	M	1
1A	M	3A	M	0
1A	M	3A	F	2
1A	M	3A	M	1
1A	M	3B	M	0
1A	M	1A	F	56
4B	M	3B	M	4
4B	M	3B	M	0
4B	M	3B	F	2
4B	M	3B	F	0
4B	M	3B	F	0
4B	M	4B	F	5
4B	M	4B	M	9
4B	M	4B	M	25
4B	M	1B	M	3
4B	M	1B	M	0
4B	M	4B	F	2
4B	M	4B	M	9
4B	M	3A	M	0
4B	M	3A	M	0
4B	M	3A	F	0
4B	M	3A	M	1
4B	M	3B	M	0
4B	M	1A	F	0
4B	M	1A	M	0
4B	M	3B	M	0
4B	M	3B	M	0
4B	M	3B	F	0
4B	M	3B	F	0
4B	M	3B	F	0
4B	M	4B	F	4
4B	M	4B	M	8
4B	M	4B	M	8
4B	M	1B	M	0
4B	M	1B	M	0
4B	M	4B	F	51
4B	M	4B	M	22
4B	M	3A	M	2
4B	M	3A	M	0
4B	M	3A	F	0
4B	M	3A	M	0
4B	M	3B	M	0
4B	M	1A	F	0
4B	M	1A	M	0
4B	M	4B	M	10
4B	F	3B	M	0
4B	F	3B	M	0
4B	F	3B	F	0
4B	F	3B	F	0
4B	F	3B	F	1
4B	F	4B	F	20
4B	F	4B	M	25
4B	F	4B	M	5
4B	F	1B	M	0
4B	F	1B	M	0
4B	F	4B	F	19
4B	F	4B	M	8
4B	F	3A	M	0
4B	F	3A	M	0
4B	F	3A	F	0
